x_m_local,y_m_local,z_m_terrain,width_m,depth_m,height_m,yaw_degrees,asset_type
1003.025,838.164,6.76,40.418,14.114,2.931,85.652,box
453.368,818.329,6.751,32.523,8.303,9.5,-31.44,box
920.833,809.343,6.397,22.963,11.065,4.2,-69.948,box
8.275,809.006,3.904,19.956,8.52,4.104,-57.706,box
962.162,803.893,6.427,28.536,11.39,4.2,-5.368,box
126.972,709.444,5.719,18.691,8.259,3.281,-43.053,box
492.44,661.885,6.512,25.083,8.385,7.427,-48.298,box
30.133,653.322,6.633,14.705,9.842,2.824,79.242,box
13.817,623.856,6.856,39.613,24.363,4.881,-68.329,box
80.869,620.896,6.37,32.418,16.907,5.409,87.693,box
51.318,629.466,6.41,30.676,13.532,4.865,-5.017,box
708.208,486.008,6.489,151.009,49.916,8.147,-50.723,box
540.162,475.368,6.335,83.751,29.612,7.816,-85.563,box
430.115,478.489,6.191,75.955,30.014,6.313,-44.967,box
157.474,465.558,6.289,19.555,10.949,4.565,84.862,box
498.663,436.107,6.122,30.901,23.722,6.08,87.328,box
126.216,438.906,6.416,27.833,18.422,4.225,26.371,box
589.842,427.949,5.902,32.184,22.246,9.5,-9.867,box
627.848,426.735,6.383,22.537,16.854,4.013,-71.951,box
616.085,394.128,6.13,13.062,13.062,9.5,75.242,box
305.363,356.192,5.496,30.562,18.225,7.265,40.997,box
630.227,343.102,6.368,130.101,47.136,9.5,-1.835,box
29.701,352.315,6.359,24.768,12.321,6.103,-74.692,box
155.366,354.944,5.944,16.911,13.319,9.5,-23.523,box
10.092,335.292,5.923,21.615,11.006,9.5,75.439,box
135.016,325.247,6.174,31.343,22.192,5.082,47.569,box
177.332,330.584,6.099,18.086,10.473,5.7,21.492,box
232.572,327.428,5.362,13.393,10.534,4.213,-6.88,box
151.9,313.62,6.023,22.004,14.32,9.5,84.761,box
626.87,288.43,6.241,98.148,40.724,9.389,1.943,box
173.088,287.964,5.979,21.075,8.368,4.583,81.465,box
847.929,254.602,6.169,35.096,7.89,6.244,-47.536,box
754.035,185.466,6.327,167.112,53.304,7.649,-89.583,box
809.87,207.529,5.824,54.339,36.366,4.113,-63.073,box
856.025,167.821,5.647,54.254,21.167,4.084,-34.288,box
800.545,170.0,5.515,29.977,27.418,4.222,2.284,box
195.248,163.511,6.431,29.458,15.249,2.814,-19.171,box
838.61,124.671,5.816,68.998,63.944,6.358,-27.582,box
790.41,128.165,5.369,38.133,8.282,4.085,-87.643,box
880.967,111.913,5.404,16.607,7.523,3.942,59.077,box
796.57,100.991,5.162,21.197,11.035,3.859,-16.136,box
890.921,76.237,4.894,17.483,10.934,8.402,30.29,box
868.302,68.698,4.93,22.688,15.243,4.919,-65.604,box
821.993,73.473,4.953,15.718,9.617,4.126,11.556,box
905.725,31.813,5.445,103.826,13.95,3.829,39.687,box
931.202,32.022,5.398,78.886,13.619,3.818,43.757,box
942.238,20.12,5.437,67.952,14.715,3.777,37.495,box
960.344,13.933,5.697,46.789,14.145,3.712,36.985,box
4.947,21.342,5.789,16.993,9.051,3.477,89.637,box
458.707,866.707,6.703,47.498,14.875,4.2,26.38,box
346.03,762.462,6.336,40.641,15.856,4.2,-45.608,box
544.911,583.22,6.436,16.873,10.427,4.2,29.788,box
103.651,465.13,6.321,19.365,13.095,3.572,35.453,box
125.996,458.403,6.292,20.959,12.935,3.774,43.66,box
296.747,380.062,5.4,20.073,7.891,4.2,-1.53,box
293.056,323.377,5.178,14.267,10.657,4.018,83.084,box
53.46,317.507,5.694,40.794,14.539,4.2,5.645,box
18.748,286.296,5.675,37.986,33.684,4.2,-7.93,box
610.045,254.386,5.959,36.333,19.085,4.2,6.086,box
183.809,77.641,6.389,33.403,25.605,4.2,47.073,box
802.009,64.713,4.629,16.912,10.947,4.144,79.436,box
215.394,14.5,4.722,32.077,8.914,4.2,88.797,box
