x_m_local,y_m_local,z_m_terrain,height_m,crown_radius_m,asset_type,scale,yaw_degrees
1676.0,2013.0,3.85,80.0,8.0,large_tree,2.5,316.117
1208.0,1977.0,4.59,80.0,8.0,large_tree,2.5,66.79
1204.0,1968.0,5.06,80.0,8.0,large_tree,2.5,331.524
1486.0,1815.0,4.65,80.0,8.0,large_tree,2.5,340.764
1488.0,1814.0,4.705,80.0,8.0,large_tree,2.5,314.823
1482.0,1813.0,4.485,80.0,8.0,large_tree,2.5,41.667
1483.0,1812.0,4.68,80.0,8.0,large_tree,2.5,69.743
1478.0,1810.0,4.48,80.0,8.0,large_tree,2.5,123.025
1474.0,1806.0,4.06,80.0,8.0,large_tree,2.5,178.485
1843.0,28.0,2.27,77.35,8.0,large_tree,2.5,323.414
1836.0,28.0,2.82,76.67,8.0,large_tree,2.5,2.325
1098.0,17.0,1.14,73.54,8.0,large_tree,2.5,81.868
1815.0,12.0,2.33,73.39,8.0,large_tree,2.5,285.716
1820.0,14.0,2.15,73.3,8.0,large_tree,2.5,149.143
1544.0,115.0,2.47,70.68,8.0,large_tree,2.5,30.173
1539.0,77.0,2.66,69.993,8.0,large_tree,2.5,141.154
1534.0,81.0,3.01,69.38,8.0,large_tree,2.5,122.246
1535.0,94.0,2.74,68.7,8.0,large_tree,2.5,8.029
1569.0,2000.0,5.61,68.61,8.0,large_tree,2.5,320.558
1535.0,107.0,2.5,66.39,8.0,large_tree,2.5,8.593
1568.0,1600.0,3.5,63.77,8.0,large_tree,2.5,300.895
1139.0,73.0,1.05,61.75,8.0,large_tree,2.5,165.455
1830.0,1805.0,4.53,60.24,8.0,large_tree,2.5,14.555
1092.0,32.0,0.78,60.05,8.0,large_tree,2.5,292.677
1924.0,898.0,2.78,59.79,8.0,large_tree,2.5,279.487
1596.0,1687.0,3.97,57.29,8.0,large_tree,2.5,258.166
1667.0,741.0,1.79,56.49,8.0,large_tree,2.5,23.55
1590.0,1682.0,3.55,56.25,8.0,large_tree,2.5,226.364
1835.0,1797.0,4.36,55.67,8.0,large_tree,2.5,355.025
1836.0,1806.0,7.33,55.64,8.0,large_tree,2.5,277.673
5.0,1385.0,3.16,53.74,8.0,large_tree,2.5,77.069
1398.0,1463.0,3.94,53.68,8.0,large_tree,2.5,30.914
703.0,1906.0,3.62,53.64,8.0,large_tree,2.5,350.507
42.0,1321.0,3.45,53.52,8.0,large_tree,2.5,266.577
1894.0,603.0,2.47,53.4,8.0,large_tree,2.5,352.356
1891.0,590.0,2.39,52.805,8.0,large_tree,2.5,283.022
1888.0,605.0,2.21,52.62,8.0,large_tree,2.5,48.08
1894.0,548.0,2.57,52.13,8.0,large_tree,2.5,42.98
1897.0,570.0,2.39,51.9,8.0,large_tree,2.5,79.887
794.0,1682.0,3.13,51.63,8.0,large_tree,2.5,225.324
1901.0,590.0,2.58,51.63,8.0,large_tree,2.5,252.235
1906.0,589.0,2.49,51.61,8.0,large_tree,2.5,277.074
1882.0,575.0,2.35,51.59,8.0,large_tree,2.5,145.876
781.0,1674.0,2.71,51.52,8.0,large_tree,2.5,126.365
